SR     obs  bkg   bkg_err  S95_obs  S95_exp  
2LASF  56   70    12       17       24       
2LADF  55   57.6  8.5      20.5     21.5     
2LBSF  19   20.7  5.0      11.7     13.0     
2LBDF  8    8.5   3.6      8.5      8.9      
2LCSF  9    10.2  3.3      8.3      8.9      
2LCDF  2    3.1   2.3      4.8      5.3      
3LI    2    4.41  1.14     4.06     5.61     
3LH    0    0.98  0.5      3.16     3.08     
