SR      obs  bkg  bkg_err_stat  bkg_err_sys  S95_obs  S95_exp  S95_exp_errm  S95_exp_errp  
Cen_SF  860  730  27            29           202      76       13.1          25.3          
For_SF  163  155  13            10           38.3     31.8     8.5           12.2          
